instance,size,init_w1,init_w2,init_w3,init_w4,init_p,sol_cost,sol_prize,sol_penalty,timelimit,runtime,timeout,in_seq,out_seq,pref_w1,pref_w2,pref_w3,pref_w4,pref_p
../../instances/pctsp/size_10/data_1.txt,10,3,55,39,3,40,3860,4053,22920,60,0.00129979,0,1-2-4,0-3-5-6-7-8-9,8,19,51,22,60
../../instances/pctsp/size_10/data_2.txt,10,3,55,39,3,40,3972,3589,19020,60,0.00106169,0,0-3-5,1-2-4-6-7-8-9,8,19,51,22,60
../../instances/pctsp/size_10/data_3.txt,10,3,55,39,3,40,4272,9897,9720,60,0.00204192,0,4-5-0-3-1-7,2-6-8-9,8,19,51,22,60
../../instances/pctsp/size_10/data_4.txt,10,3,55,39,3,40,2448,4661,19200,60,0.00119607,0,1-9-2,0-3-4-5-6-7-8,8,19,51,22,60
../../instances/pctsp/size_10/data_5.txt,10,3,55,39,3,40,16758,13876,15480,60,0.0017076,0,3-2-8-7-1-9-6-0,4-5,8,19,51,22,60
../../instances/pctsp/size_10/data_6.txt,10,3,55,39,3,40,13943,13224,11640,60,0.00211776,0,2-6-4-3-1-5-7-8,0-9,8,19,51,22,60
../../instances/pctsp/size_10/data_7.txt,10,3,55,39,3,40,8537,12426,3720,60,0.00159048,0,8-1-9-6-7-3-0-4,2-5,8,19,51,22,60
../../instances/pctsp/size_10/data_8.txt,10,3,55,39,3,40,3882,6104,16800,60,0.00111431,0,7-9-8-0,1-2-3-4-5-6,8,19,51,22,60
../../instances/pctsp/size_10/data_9.txt,10,3,55,39,3,40,3502,3760,20580,60,0.00109909,0,9-0-2,1-3-4-5-6-7-8,8,19,51,22,60
../../instances/pctsp/size_10/data_10.txt,10,3,55,39,3,40,11142,11890,15060,60,0.00255691,0,6-9-3-7-2-0-4,1-5-8,8,19,51,22,60
../../instances/pctsp/size_10/data_11.txt,10,3,55,39,3,40,16089,14047,15000,60,0.00299326,0,7-9-3-2-0-6-1-4,5-8,8,19,51,22,60
../../instances/pctsp/size_10/data_12.txt,10,3,55,39,3,40,24897,8953,26520,60,0.00165854,0,8-0-6-2-7-4,1-3-5-9,8,19,51,22,60
../../instances/pctsp/size_10/data_13.txt,10,3,55,39,3,40,14227,12122,19620,60,0.00143923,0,6-3-2-0-1-8-9,4-5-7,8,19,51,22,60
../../instances/pctsp/size_10/data_14.txt,10,3,55,39,3,40,13921,11136,13500,60,0.00141197,0,5-1-0-9-2-7-3,4-6-8,8,19,51,22,60
../../instances/pctsp/size_10/data_15.txt,10,3,55,39,3,40,4084,3902,19860,60,0.00111853,0,0-1-7,2-3-4-5-6-8-9,8,19,51,22,60
../../instances/pctsp/size_10/data_16.txt,10,3,55,39,3,40,4371,6413,16680,60,0.00143821,0,2-5-8-1,0-3-4-6-7-9,8,19,51,22,60
../../instances/pctsp/size_10/data_17.txt,10,3,55,39,3,40,8408,5147,17040,60,0.00125853,0,8-2-7-0,1-3-4-5-6-9,8,19,51,22,60
../../instances/pctsp/size_10/data_18.txt,10,3,55,39,3,40,10537,8671,12360,60,0.00147998,0,0-8-5-2-6-7,1-3-4-9,8,19,51,22,60
../../instances/pctsp/size_10/data_19.txt,10,3,55,39,3,40,18999,11849,23640,60,0.00164434,0,2-8-9-0-4-1-5,3-6-7,8,19,51,22,60
../../instances/pctsp/size_10/data_20.txt,10,3,55,39,3,40,10050,11652,10500,60,0.00161465,0,0-7-1-4-3-8-2,5-6-9,8,19,51,22,60
../../instances/pctsp/size_10/data_21.txt,10,3,55,39,3,40,36493,13727,6540,60,0.00200072,0,0-8-3-1-7-5-6-9-4,2,8,19,51,22,60
../../instances/pctsp/size_10/data_22.txt,10,3,55,39,3,40,25156,15319,9000,60,0.00211668,0,3-7-0-5-9-1-2-8-6,4,8,19,51,22,60
../../instances/pctsp/size_10/data_23.txt,10,3,55,39,3,40,4709,4037,20100,60,0.000937171,0,7-3-8,0-1-2-4-5-6-9,8,19,51,22,60
../../instances/pctsp/size_10/data_24.txt,10,3,55,39,3,40,7578,11619,5460,60,0.00182949,0,3-7-5-8-4-1-0-2,6-9,8,19,51,22,60
../../instances/pctsp/size_10/data_25.txt,10,3,55,39,3,40,11332,12703,31800,60,0.00188316,0,9-1-2-6-4-7-0,3-5-8,8,19,51,22,60
../../instances/pctsp/size_10/data_26.txt,10,3,55,39,3,40,12686,12193,19080,60,0.00168329,0,1-7-4-8-3-2-6,0-5-9,8,19,51,22,60
../../instances/pctsp/size_10/data_27.txt,10,3,55,39,3,40,3038,8641,14760,60,0.00194851,0,5-8-7-4-0,1-2-3-6-9,8,19,51,22,60
../../instances/pctsp/size_10/data_28.txt,10,3,55,39,3,40,15539,16213,8820,60,0.00167801,0,6-2-5-1-9-8-0-3-4,7,8,19,51,22,60
../../instances/pctsp/size_10/data_29.txt,10,3,55,39,3,40,24714,16470,17400,60,0.00174763,0,7-6-2-8-3-5-1-9-0,4,8,19,51,22,60
../../instances/pctsp/size_10/data_30.txt,10,3,55,39,3,40,16070,12067,6540,60,0.00199671,0,5-8-9-0-1-7-3-6,2-4,8,19,51,22,60
../../instances/pctsp/size_10/data_31.txt,10,3,55,39,3,40,13030,14402,17100,60,0.00165646,0,5-8-6-7-4-2-1-3,0-9,8,19,51,22,60
../../instances/pctsp/size_10/data_32.txt,10,3,55,39,3,40,7136,7951,23160,60,0.00140993,0,1-4-9-3-5,0-2-6-7-8,8,19,51,22,60
../../instances/pctsp/size_10/data_33.txt,10,3,55,39,3,40,3614,3971,23220,60,0.00119007,0,4-0-2,1-3-5-6-7-8-9,8,19,51,22,60
../../instances/pctsp/size_10/data_34.txt,10,3,55,39,3,40,4616,4511,15960,60,0.00177858,0,0-1-7-8,2-3-4-5-6-9,8,19,51,22,60
../../instances/pctsp/size_10/data_35.txt,10,3,55,39,3,40,6282,4231,20280,60,0.00117458,0,8-6-4,0-1-2-3-5-7-9,8,19,51,22,60
../../instances/pctsp/size_10/data_36.txt,10,3,55,39,3,40,14486,14074,14100,60,0.00148275,0,2-8-1-5-0-4-7-3,6-9,8,19,51,22,60
../../instances/pctsp/size_10/data_37.txt,10,3,55,39,3,40,12564,11917,23640,60,0.00161132,0,6-2-7-5-3-1-9,0-4-8,8,19,51,22,60
../../instances/pctsp/size_10/data_38.txt,10,3,55,39,3,40,3882,4262,13440,60,0.000896968,0,3-9-8,0-1-2-4-5-6-7,8,19,51,22,60
../../instances/pctsp/size_10/data_39.txt,10,3,55,39,3,40,16655,13964,15180,60,0.00162731,0,2-3-5-7-4-0-9-1,6-8,8,19,51,22,60
../../instances/pctsp/size_10/data_40.txt,10,3,55,39,3,40,2474,5867,16560,60,0.0014021,0,8-7-3-9,0-1-2-4-5-6,8,19,51,22,60
../../instances/pctsp/size_10/data_41.txt,10,3,55,39,3,40,22452,12703,22680,60,0.00171731,0,2-6-7-9-8-1-5-4,0-3,8,19,51,22,60
../../instances/pctsp/size_10/data_42.txt,10,3,55,39,3,40,3530,4540,17820,60,0.00089792,0,9-3-7,0-1-2-4-5-6-8,8,19,51,22,60
