1838 1831 1844 1813 1677 1710 1813 1731 1775 1824 1836 1834 1807 1831 1810 1832 1766 1731 1817 1807 1802 1779 1669 1717 1841 1845 1685 1835 1809 1827 1812 1820 1767 1800 1839 1722 1820 1817 1750 1803 1792 1756 1839 1641 1811 1809 1819 1830 1811 1716

70

46 47 46 48 60 57 48 55 51 47 46 46 49 47 48 47 52 55 48 49 49 51 60 56 46 46 59 46 49 47 48 48 52 49 46 56 48 48 54 49 50 53 46 63 48 49 48 47 48 56

19 25 50 6

23333

0	141	0	172	373	0	0	0	142	82	27	0	0	107	121	0	0	0	151	0	20	0	372	327	32	0	350	106	0	0	108	0	242	52	18	0	0	120	282	0	177	234	47	0	0	0	0	143	0	289
0	0	0	31	232	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	231	186	0	0	209	0	0	0	0	0	101	0	0	0	0	0	141	0	36	93	0	0	0	0	0	2	0	148
2	143	0	174	375	0	0	0	144	84	29	0	0	109	123	0	0	0	153	0	22	0	374	329	34	0	352	108	0	0	110	0	244	54	20	0	0	122	284	0	179	236	49	0	0	0	0	145	0	291
0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	155	0	0	178	0	0	0	0	0	70	0	0	0	0	0	110	0	5	62	0	0	0	0	0	0	0	117
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248	389	246	420	621	0	135	11	390	330	275	218	121	355	369	225	79	51	399	120	268	145	620	575	280	246	598	354	137	180	356	135	490	300	266	40	145	368	530	145	425	482	295	0	123	135	221	391	171	537
113	254	111	285	486	0	0	0	255	195	140	83	0	220	234	90	0	0	264	0	133	10	485	440	145	111	463	219	2	45	221	0	355	165	131	0	10	233	395	10	290	347	160	0	0	0	86	256	36	402
237	378	235	409	610	0	124	0	379	319	264	207	110	344	358	214	68	40	388	109	257	134	609	564	269	235	587	343	126	169	345	124	479	289	255	29	134	357	519	134	414	471	284	0	112	124	210	380	160	526
0	0	0	30	231	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	230	185	0	0	208	0	0	0	0	0	100	0	0	0	0	0	140	0	35	92	0	0	0	0	0	1	0	147
0	59	0	90	291	0	0	0	60	0	0	0	0	25	39	0	0	0	69	0	0	0	290	245	0	0	268	24	0	0	26	0	160	0	0	0	0	38	200	0	95	152	0	0	0	0	0	61	0	207
0	114	0	145	346	0	0	0	115	55	0	0	0	80	94	0	0	0	124	0	0	0	345	300	5	0	323	79	0	0	81	0	215	25	0	0	0	93	255	0	150	207	20	0	0	0	0	116	0	262
30	171	28	202	403	0	0	0	172	112	57	0	0	137	151	7	0	0	181	0	50	0	402	357	62	28	380	136	0	0	138	0	272	82	48	0	0	150	312	0	207	264	77	0	0	0	3	173	0	319
127	268	125	299	500	0	14	0	269	209	154	97	0	234	248	104	0	0	278	0	147	24	499	454	159	125	477	233	16	59	235	14	369	179	145	0	24	247	409	24	304	361	174	0	2	14	100	270	50	416
0	34	0	65	266	0	0	0	35	0	0	0	0	0	14	0	0	0	44	0	0	0	265	220	0	0	243	0	0	0	1	0	135	0	0	0	0	13	175	0	70	127	0	0	0	0	0	36	0	182
0	20	0	51	252	0	0	0	21	0	0	0	0	0	0	0	0	0	30	0	0	0	251	206	0	0	229	0	0	0	0	0	121	0	0	0	0	0	161	0	56	113	0	0	0	0	0	22	0	168
23	164	21	195	396	0	0	0	165	105	50	0	0	130	144	0	0	0	174	0	43	0	395	350	55	21	373	129	0	0	131	0	265	75	41	0	0	143	305	0	200	257	70	0	0	0	0	166	0	312
169	310	167	341	542	0	56	0	311	251	196	139	42	276	290	146	0	0	320	41	189	66	541	496	201	167	519	275	58	101	277	56	411	221	187	0	66	289	451	66	346	403	216	0	44	56	142	312	92	458
197	338	195	369	570	0	84	0	339	279	224	167	70	304	318	174	28	0	348	69	217	94	569	524	229	195	547	303	86	129	305	84	439	249	215	0	94	317	479	94	374	431	244	0	72	84	170	340	120	486
0	0	0	21	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	176	0	0	199	0	0	0	0	0	91	0	0	0	0	0	131	0	26	83	0	0	0	0	0	0	0	138
128	269	126	300	501	0	15	0	270	210	155	98	1	235	249	105	0	0	279	0	148	25	500	455	160	126	478	234	17	60	236	15	370	180	146	0	25	248	410	25	305	362	175	0	3	15	101	271	51	417
0	121	0	152	353	0	0	0	122	62	7	0	0	87	101	0	0	0	131	0	0	0	352	307	12	0	330	86	0	0	88	0	222	32	0	0	0	100	262	0	157	214	27	0	0	0	0	123	0	269
103	244	101	275	476	0	0	0	245	185	130	73	0	210	224	80	0	0	254	0	123	0	475	430	135	101	453	209	0	35	211	0	345	155	121	0	0	223	385	0	280	337	150	0	0	0	76	246	26	392
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
