1929 1821 1929 1918 1908 1906 1885 1925 1921 1925 1867 1917 1910 1923 1920 1915 1927 1920 1925 1880 1886 1930 1899 1891 1916 1917 1920 1893 1920 1893 1925 1913 1923 1918 1922 1898 1909 1916 1914 1854 1848 1866 1924 1897 1926 1891 1921 1869 1843 1919 1868 1754 1911 1914 1878 1924 1931 1922 1925 1917 1909 1916 1885 1916 1923 1913 1917 1879 1906 1924 1913 1895 1860 1920 1874 1918 1922 1891 1929 1910 1856 1896 1790 1915 1920 1863 1912 1896 1907 1870 1923 1812 1916 1889 1920 1926 1847 1928 1915 1924

93

45 56 45 46 47 47 49 45 46 45 51 46 47 46 46 46 45 46 45 50 49 45 48 49 46 46 46 49 46 49 45 47 46 46 46 48 47 46 46 52 53 51 45 48 45 49 46 51 53 46 51 62 47 47 50 45 45 46 45 46 47 46 49 46 46 47 46 50 47 46 47 48 52 46 50 46 46 49 45 47 52 48 59 46 46 51 47 48 47 51 46 56 46 49 46 45 53 45 46 45

9.904547058395217 75.00836498956016 5.90748834712649 8.944000312989425

47130.0

0	210	21	105	190	0	350	64	0	132	400	0	174	90	0	160	17	0	50	350	305	54	260	0	113	0	0	260	136	57	10	0	0	166	0	0	165	174	165	450	0	407	0	260	0	0	0	394	0	109	0	298	0	167	361	0	0	0	0	0	0	190	312	0	0	0	0	0	0	102	0	8	0	130	353	0	72	0	0	174	0	0	32	140	0	382	0	0	0	350	134	460	0	167	17	16	0	17	0	20
0	0	0	0	0	0	140	0	0	0	190	0	0	0	0	0	0	0	0	140	95	0	50	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	240	0	197	0	50	0	0	0	184	0	0	0	88	0	0	151	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	172	0	0	0	140	0	250	0	0	0	0	0	0	0	0
0	189	0	84	169	0	329	43	0	111	379	0	153	69	0	139	0	0	29	329	284	33	239	0	92	0	0	239	115	36	0	0	0	145	0	0	144	153	144	429	0	386	0	239	0	0	0	373	0	88	0	277	0	146	340	0	0	0	0	0	0	169	291	0	0	0	0	0	0	81	0	0	0	109	332	0	51	0	0	153	0	0	11	119	0	361	0	0	0	329	113	439	0	146	0	0	0	0	0	0
0	105	0	0	85	0	245	0	0	27	295	0	69	0	0	55	0	0	0	245	200	0	155	0	8	0	0	155	31	0	0	0	0	61	0	0	60	69	60	345	0	302	0	155	0	0	0	289	0	4	0	193	0	62	256	0	0	0	0	0	0	85	207	0	0	0	0	0	0	0	0	0	0	25	248	0	0	0	0	69	0	0	0	35	0	277	0	0	0	245	29	355	0	62	0	0	0	0	0	0
0	20	0	0	0	0	160	0	0	0	210	0	0	0	0	0	0	0	0	160	115	0	70	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	260	0	217	0	70	0	0	0	204	0	0	0	108	0	0	171	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	192	0	0	0	160	0	270	0	0	0	0	0	0	0	0
180	390	201	285	370	0	530	244	92	312	580	39	354	270	59	340	197	66	230	530	485	234	440	99	293	59	55	440	316	237	190	5	92	346	97	0	345	354	345	630	0	587	135	440	170	0	77	574	0	289	0	478	75	347	541	93	180	75	100	45	0	370	492	36	120	13	55	0	0	282	0	188	0	310	533	40	252	0	168	354	10	0	212	320	104	562	15	26	168	530	314	640	26	347	197	196	0	197	21	200
0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	57	0	0	0	0	0	44	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	110	0	0	0	0	0	0	0	0
0	146	0	41	126	0	286	0	0	68	336	0	110	26	0	96	0	0	0	286	241	0	196	0	49	0	0	196	72	0	0	0	0	102	0	0	101	110	101	386	0	343	0	196	0	0	0	330	0	45	0	234	0	103	297	0	0	0	0	0	0	126	248	0	0	0	0	0	0	38	0	0	0	66	289	0	8	0	0	110	0	0	0	76	0	318	0	0	0	286	70	396	0	103	0	0	0	0	0	0
88	298	109	193	278	0	438	152	0	220	488	0	262	178	0	248	105	0	138	438	393	142	348	7	201	0	0	348	224	145	98	0	0	254	5	0	253	262	253	538	0	495	43	348	78	0	0	482	0	197	0	386	0	255	449	1	88	0	8	0	0	278	400	0	28	0	0	0	0	190	0	96	0	218	441	0	160	0	76	262	0	0	120	228	12	470	0	0	76	438	222	548	0	255	105	104	0	105	0	108
0	78	0	0	58	0	218	0	0	0	268	0	42	0	0	28	0	0	0	218	173	0	128	0	0	0	0	128	4	0	0	0	0	34	0	0	33	42	33	318	0	275	0	128	0	0	0	262	0	0	0	166	0	35	229	0	0	0	0	0	0	58	180	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	42	0	0	0	8	0	250	0	0	0	218	2	328	0	35	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0
