dataset_path,size,solver,inf_time_limit,n_inf_jobs,learner,n_epochs,n_epoch_jobs,regularization,learning_rate,max_inference,cache_strategy,n_inference,inference_time,total_run_time,train_score,test_score,predicted_weights
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,2720,127.06784588800033,128.24,97.08,92.92,0.08+0.2+0.51+0.216+0.606
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,3200,141.35110915700034,152.15,97.43,93.19,0.101+0.24+0.636+0.27+0.748
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,3200,146.160451493,155.18,97.43,93.19,0.101+0.24+0.636+0.27+0.748
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,3200,131.354885713,139.38,97.43,93.19,0.101+0.24+0.636+0.27+0.748
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,70.45015243400003,72.02,97.43,93.19,0.101+0.24+0.636+0.27+0.748
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,60.84468287500002,62.07,97.43,93.19,0.101+0.24+0.636+0.27+0.748
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,54.27143403600001,54.47,82.36,80.28,0.007+0.053+0.14+0.043+0.117
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,3200,138.24598752900042,138.65,83.96,80.14,0.708+1.599+4.782+1.372+6.109
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,68.12105862000016,68.49,83.96,80.14,0.708+1.599+4.782+1.372+6.109
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,68.69384634299995,68.83,80.66,80.83,0.699+1.447+4.724+1.139+5.837
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,10,1,0.01,-1,-1,None,1600,70.69059888199996,70.85,77.64,76.25,1246.232+2420.815+7990.208+1829.974+10489.512
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,-1,-1,None,1600,11.61379086600004,11.97,85.83,83.75,3057.394+5124.053+14396.956+6049.994+18453.253
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,11.570335637999998,11.93,85.31,86.25,2.186+3.993+9.876+4.422+12.108
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,11.19655528700006,11.54,80.45,80.14,0.022+0.045+0.129+0.056+0.126
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1280,8.736453052000035,10.2,90.28,91.53,0.089+0.227+0.572+0.238+0.678
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,10.933116080999996,11.63,84.79,81.53,2.209+3.413+9.371+3.979+11.828
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,-1,None,1600,11.106949892999998,11.79,85.73,81.94,2.128+3.711+9.188+3.424+11.876
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,1000,RandomCache,1000,6.871432206000008,7.76,82.85,81.11,1.981+3.159+8.278+3.244+9.231
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,1000,CVCache,300,1.9979442220000054,2.69,87.29,84.31,1.66+3.463+10.285+4.435+11.195
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,1000,CosineCache,162,1.2665511390000006,1.92,67.05,68.33,3.245+4.314+19.152+6.613+30.753
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,1000,PFTCache,1000,8.230584961000025,9.63,83.75,83.61,1.92+2.931+8.279+3.784+9.699
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,1000,BasicCache,1000,8.01575793500002,8.97,85.17,81.67,1.881+3.108+8.076+3.126+9.819
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,1000,BasicCache,1000,6.985454711000001,8.02,84.24,82.36,1.734+3.275+7.7+3.802+9.3
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,1000,EntropyCache,1000,6.849481037000014,7.86,87.05,87.64,1.327+2.844+7.779+2.73+9.945
cp_training_t60_s10.csv,10,LS,-1,1,STRUCT_PERC_FIXED,10,1,0.01,0.001,1000,GiniCache,443,3.6676690309999938,4.49,82.29,82.78,2.418+3.985+9.919+4.908+11.763
