instance_id,n_equivalence,equivalence_1,equivalence_3,equivalence_5,equivalence_10,sols_found,inf_time,runtime
0,19,19,19,19,19,0,119.02163825299861,275.63
1,19,19,19,19,19,0,119.02163825299861,275.63
2,19,19,19,19,19,0,119.02163825299861,275.63
3,19,19,19,19,19,0,119.02163825299861,275.63
4,19,19,19,19,19,0,119.02163825299861,275.63
5,19,19,19,19,19,0,119.02163825299861,275.63
6,19,19,19,19,19,0,119.02163825299861,275.63
7,19,19,19,19,19,0,119.02163825299861,275.63
8,19,19,19,19,19,0,119.02163825299861,275.63
9,19,19,19,19,19,0,119.02163825299861,275.63
10,19,19,19,19,19,0,119.02163825299861,275.63
11,19,19,19,19,19,0,119.02163825299861,275.63
12,19,19,19,19,19,0,119.02163825299861,275.63
13,19,19,19,19,19,0,119.02163825299861,275.63
14,19,19,19,19,19,0,119.02163825299861,275.63
15,19,19,19,19,19,0,119.02163825299861,275.63
16,19,19,19,19,19,0,119.02163825299861,275.63
17,19,19,19,19,19,0,119.02163825299861,275.63
18,19,19,19,19,19,0,119.02163825299861,275.63
19,19,19,19,19,19,0,119.02163825299861,275.63
20,19,19,19,19,19,0,119.02163825299861,275.63
21,19,19,19,19,19,0,119.02163825299861,275.63
22,19,19,19,19,19,0,119.02163825299861,275.63
23,19,19,19,19,19,0,119.02163825299861,275.63
24,19,19,19,19,19,0,119.02163825299861,275.63
25,19,19,19,19,19,0,119.02163825299861,275.63
26,19,19,19,19,19,0,119.02163825299861,275.63
27,19,19,19,19,19,0,119.02163825299861,275.63
28,19,19,19,19,19,0,119.02163825299861,275.63
29,19,19,19,19,19,0,119.02163825299861,275.63
30,19,19,19,19,19,0,119.02163825299861,275.63
31,19,19,19,19,19,0,119.02163825299861,275.63
32,19,19,19,19,19,0,119.02163825299861,275.63
33,19,19,19,19,19,0,119.02163825299861,275.63
34,19,19,19,19,19,0,119.02163825299861,275.63
35,19,19,19,19,19,0,119.02163825299861,275.63
36,19,19,19,19,19,0,119.02163825299861,275.63
37,19,19,19,19,19,0,119.02163825299861,275.63
38,19,19,19,19,19,0,119.02163825299861,275.63
39,19,19,19,19,19,0,119.02163825299861,275.63
40,19,19,19,19,19,0,119.02163825299861,275.63
