dataset_path,size,solver,inf_time_limit,n_inf_jobs,learner,n_epochs,n_epoch_jobs,regularization,learning_rate,max_inference,cache_strategy,n_inference,inference_time,total_run_time,train_score,test_score,predicted_weights
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,65.03595060099998,65.25,0.93,0.94,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1600,ArmotizedCaching2,521,11.311403870999943,139.5,0.93,0.94,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1600,ArmotizedCaching3,521,10.932459246999978,166.02,0.93,0.94,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1600,ArmotizedCaching3,521,10.918004244000027,166.32,0.93,0.94,0.736+1.368+0.425+0.946
dataset_t60_s100.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1600,ArmotizedCaching3,302,18.947154069999986,184.35,0.95,0.96,0.78+1.536+0.562+0.682
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1600,ArmotizedCaching3,311,8.069588160999979,169.13,93.01,93.37,0.989+1.469+0.454+0.68
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,66.95264808999981,67.2,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,66.20630923799995,66.45,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-3200,ArmotizedCaching3,521,11.056559392999954,159.9,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,800,RandomCache,800,16.740616340000003,17.05,93.54,94.14,0.734+1.373+0.419+0.943
