1600 1589 1687 1479 1691 1701 1540 1697 1666 1575 1651 1685 1498 1582 1620 1688 1401 1637 1642 1668 1682 1673 1683 1640 1339 1681 1582 1586 1703 1528 1684 1498 1636 1576 1704 1666 1704 1695 1651 1541 1701 1686 1704 1597 1682 1592 1676 1692 1704 1684 1582 1551 1628 1406 1340 1684 1676 1524 1667 1659 1601 1681 1575 1651 1682 1682 1332 1693 1654 1682 1682 1684 1416 1685 1683

72

2722 2761 2422 3139 2409 2373 2929 2389 2494 2809 2545 2431 3075 2784 2655 2419 3410 2595 2578 2487 2439 2469 2435 2586 3622 2442 2785 2772 2368 2971 2432 3074 2600 2805 2365 2496 2362 2393 2545 2926 2375 2424 2362 2734 2441 2749 2460 2406 2363 2432 2786 2891 2626 3392 3621 2434 2462 2985 2491 2520 2720 2442 2809 2546 2438 2441 3647 2402 2536 2438 2439 2432 3356 2430 2437

23.999529104812392 15.999516565794409 13.999244689696603 46.00095984341391

29098.0

0	1000	0	9100	0	0	4900	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	0	18700	0	1700	1400	0	5900	0	0	0	0	0	0	0	0	0	4900	0	0	0	400	0	0	0	0	0	0	0	4200	0	14400	18700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13700	0	0
0	0	0	8100	0	0	3900	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	17700	0	700	400	0	4900	0	0	0	0	0	0	0	0	0	3900	0	0	0	0	0	0	0	0	0	0	0	3200	0	13400	17700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12700	0	0
11700	12700	0	20800	0	0	16600	0	0	0	0	1800	0	13300	0	0	0	0	0	4100	1900	0	0	7300	30400	2800	13400	13100	0	17600	2400	0	0	0	0	0	0	0	0	16600	0	0	0	12100	2800	0	3400	400	0	2400	0	15900	0	26100	30400	0	0	0	0	0	11700	0	0	0	0	2800	0	0	0	0	0	2400	25400	2200	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5300	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4600	0	0
26300	27300	14600	35400	0	11300	31200	9000	0	0	0	16400	0	27900	0	0	0	0	0	18700	16500	0	0	21900	45000	17400	28000	27700	10000	32200	17000	0	0	0	10900	0	10200	13600	0	31200	12000	0	9600	26700	17400	0	18000	15000	10500	17000	0	30500	0	40700	45000	0	0	0	0	0	26300	0	0	0	0	17400	0	0	0	0	0	17000	40000	16800	0
15000	16000	3300	24100	0	0	19900	0	0	0	0	5100	0	16600	0	0	0	0	0	7400	5200	0	0	10600	33700	6100	16700	16400	0	20900	5700	0	0	0	0	0	0	2300	0	19900	700	0	0	15400	6100	0	6700	3700	0	5700	0	19200	0	29400	33700	0	0	0	0	0	15000	0	0	0	0	6100	0	0	0	0	0	5700	28700	5500	0
0	0	0	4200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13800	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9500	13800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8800	0	0
17300	18300	5600	26400	0	2300	22200	0	0	0	0	7400	0	18900	0	0	0	0	0	9700	7500	0	0	12900	36000	8400	19000	18700	1000	23200	8000	0	0	0	1900	0	1200	4600	0	22200	3000	0	600	17700	8400	0	9000	6000	1500	8000	0	21500	0	31700	36000	0	0	0	0	0	17300	0	0	0	0	8400	0	0	0	0	0	8000	31000	7800	0
37800	38800	26100	46900	11500	22800	42700	20500	0	0	0	27900	0	39400	0	5900	0	0	0	30200	28000	1100	2900	33400	56500	28900	39500	39200	21500	43700	28500	0	0	0	22400	0	21700	25100	0	42700	23500	4200	21100	38200	28900	0	29500	26500	22000	28500	0	42000	0	52200	56500	4300	1500	0	100	0	37800	2500	0	0	2700	28900	0	10500	0	2700	2700	28500	51500	28300	2800
46400	47400	34700	55500	20100	31400	51300	29100	8600	0	6600	36500	0	48000	3700	14500	0	5200	5700	38800	36600	9700	11500	42000	65100	37500	48100	47800	30100	52300	37100	0	5100	100	31000	8500	30300	33700	6600	51300	32100	12800	29700	46800	37500	1500	38100	35100	30600	37100	600	50600	4400	60800	65100	12900	10100	0	8700	7600	46400	11100	0	6600	11300	37500	0	19100	7100	11300	11300	37100	60100	36900	11400
